"filename", "language", "JavaScript", "Vue", "CSS", "Markdown", "JSON", "Ignore", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"c:\Users\16110\Desktop\newsAdmin\.eslintrc.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\16110\Desktop\newsAdmin\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\16110\Desktop\newsAdmin\.prettierrc", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\16110\Desktop\newsAdmin\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 11, 30
"c:\Users\16110\Desktop\newsAdmin\babel.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\16110\Desktop\newsAdmin\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 0, 13
"c:\Users\16110\Desktop\newsAdmin\package-lock.json", "JSON", 0, 0, 0, 0, 13070, 0, 0, 0, 0, 0, 1, 13071
"c:\Users\16110\Desktop\newsAdmin\package.json", "JSON", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\Users\16110\Desktop\newsAdmin\public\img\icons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\16110\Desktop\newsAdmin\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\16110\Desktop\newsAdmin\src\App.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\16110\Desktop\newsAdmin\src\assets\css\index.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\16110\Desktop\newsAdmin\src\components\Editor\editor.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\16110\Desktop\newsAdmin\src\components\Editor\form.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\16110\Desktop\newsAdmin\src\components\Editor\index.vue", "Vue", 0, 329, 0, 0, 0, 0, 0, 0, 0, 28, 10, 367
"c:\Users\16110\Desktop\newsAdmin\src\components\Form\index.vue", "Vue", 0, 140, 0, 0, 0, 0, 0, 0, 0, 16, 5, 161
"c:\Users\16110\Desktop\newsAdmin\src\components\Info\form.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\16110\Desktop\newsAdmin\src\components\Info\index.vue", "Vue", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 7, 122
"c:\Users\16110\Desktop\newsAdmin\src\components\Menu\index.vue", "Vue", 0, 89, 0, 0, 0, 0, 0, 0, 0, 3, 8, 100
"c:\Users\16110\Desktop\newsAdmin\src\components\Menu\menu.config.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 56
"c:\Users\16110\Desktop\newsAdmin\src\components\Modal\index.vue", "Vue", 0, 134, 0, 0, 0, 0, 0, 0, 0, 8, 4, 146
"c:\Users\16110\Desktop\newsAdmin\src\components\Search\index.vue", "Vue", 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 4, 57
"c:\Users\16110\Desktop\newsAdmin\src\components\Table\index.vue", "Vue", 0, 195, 0, 0, 0, 0, 0, 0, 0, 17, 6, 218
"c:\Users\16110\Desktop\newsAdmin\src\config\component.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\16110\Desktop\newsAdmin\src\config\config.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\16110\Desktop\newsAdmin\src\config\element.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 66
"c:\Users\16110\Desktop\newsAdmin\src\config\filter.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\16110\Desktop\newsAdmin\src\config\mixin.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\16110\Desktop\newsAdmin\src\main.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 35
"c:\Users\16110\Desktop\newsAdmin\src\registerServiceWorker.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\16110\Desktop\newsAdmin\src\router\config.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\16110\Desktop\newsAdmin\src\router\index.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 51
"c:\Users\16110\Desktop\newsAdmin\src\service\api\nav.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\16110\Desktop\newsAdmin\src\service\api\news.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\16110\Desktop\newsAdmin\src\service\api\unify.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 35
"c:\Users\16110\Desktop\newsAdmin\src\service\api\user.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\16110\Desktop\newsAdmin\src\service\index.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\16110\Desktop\newsAdmin\src\service\request\request.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 82
"c:\Users\16110\Desktop\newsAdmin\src\store\index.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\16110\Desktop\newsAdmin\src\store\unify.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 83
"c:\Users\16110\Desktop\newsAdmin\src\store\user.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\16110\Desktop\newsAdmin\src\utils\cache.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\16110\Desktop\newsAdmin\src\views\addNews\index.vue", "Vue", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\16110\Desktop\newsAdmin\src\views\login\login.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\16110\Desktop\newsAdmin\src\views\login\login.vue", "Vue", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 8, 111
"c:\Users\16110\Desktop\newsAdmin\src\views\main\index.vue", "Vue", 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 9, 94
"c:\Users\16110\Desktop\newsAdmin\src\views\nav\form.config.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\16110\Desktop\newsAdmin\src\views\nav\index.vue", "Vue", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\16110\Desktop\newsAdmin\src\views\nav\search.config.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\16110\Desktop\newsAdmin\src\views\nav\table.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\16110\Desktop\newsAdmin\src\views\news\index.vue", "Vue", 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 3, 64
"c:\Users\16110\Desktop\newsAdmin\src\views\news\search.config.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\16110\Desktop\newsAdmin\src\views\news\table.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\16110\Desktop\newsAdmin\src\views\note\form.config.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\16110\Desktop\newsAdmin\src\views\note\index.vue", "Vue", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\16110\Desktop\newsAdmin\src\views\note\search.config.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\16110\Desktop\newsAdmin\src\views\note\table.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\16110\Desktop\newsAdmin\src\views\show\index.vue", "Vue", 0, 310, 0, 0, 0, 0, 0, 0, 0, 2, 7, 319
"c:\Users\16110\Desktop\newsAdmin\src\views\user\form.config.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\16110\Desktop\newsAdmin\src\views\user\index.vue", "Vue", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\16110\Desktop\newsAdmin\src\views\user\search.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\16110\Desktop\newsAdmin\src\views\user\table.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\16110\Desktop\newsAdmin\vue.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 13
"Total", "-", 988, 1744, 9, 19, 13121, 7, 8, 16, 3, 117, 182, 16214